9241	Un uomo in camicia bianca e pantaloni neri sta camminando sul marciapiede.
1358	Un uomo in camicia bianca e pantaloni neri sta guardando qualcosa.
8412	Un uomo in camicia rossa e jeans blu sta facendo una foto.
219	Una donna con una maglietta blu e una gonna nera e una gonna rossa con una borsa nera sulla spalla destra.
1576	Un gruppo di persone sta camminando lungo una sentiera di montagna.
6486	Un uomo con un cappello da baseball sta lavorando con macchinari complicati.
9592	Un gruppo di persone sta protestando per strada.
6005	Un uomo con un cappello da bowler e una giacca di pelle nera sta suonando il saxofono.
8561	Un uomo in camicia bianca suona un saxofono.
5016	Un uomo con una camicia nera e una donna con una maglietta bianca e un cappello da Chicago stanno camminando per una strada.
2851	Un uomo con un cappello nero e una camicia nera sta lavorando ad un progetto di costruzione.
10005	Un bambino che gioca con una palla rossa.
2523	Un uomo in camicia bianca e pantaloni neri sta camminando per una strada.
199	Un uomo in camicia bianca e pantaloni neri sta guardando qualcosa.
2103	Una donna in bikini blu si sta mettendo in posa per una foto.
9274	Un uomo con un cappello da bowler e una camicia rossa sta facendo una foto.
2429	Un uomo con un cappello da baseball e una maglietta blu sta parlando con una donna con un vestito bianco.
1284	Un uomo con un cappello da baseball sta spazzando la strada.
4556	Un uomo in camicia bianca e pantaloni neri sta guardando qualcosa.
5581	Un uomo in kayak in acque accidentate.
7492	Un gruppo di persone che guidano cammelli.
3539	Una donna con una maglietta blu sta mangiando.
9088	Un uomo in bicicletta salta su una collina sporca.
4007	Un uomo in camicia bianca e pantaloni neri sta giocando a tennis.
2906	Un uomo con un cappello da cowboy guida un cavallo marrone.
6334	Un cane bianco e marrone che corre in un campo.
2044	Un uomo e una donna che saltano in una piscina.
2956	Un uomo in camicia bianca e pantaloni neri sta guardando un prodotto.
7909	Un uomo con una camicia nera e dei pantaloni neri salta in aria con le braccia strette mentre un uomo in camicia bianca 
2803	Un uomo con un cappello da baseball sta lavorando con macchinari complicati.
5541	Un uomo con gli occhiali che indossa una camicia a strisce bianche e nere e un cappello da baseball sta guardando una telecamera.
8554	Una donna con un vestito bianco e un uomo con una borsa nera sono seduti accanto ad un uomo con una maglietta nera.
6376	Un uomo con un cappello da cowboy guida un cavallo marrone.
9506	Un uomo con un cappello da baseball sta lavorando con macchinari complicati.
6067	Una donna con una maglietta blu e un ragazzo con una maglietta rossa sono seduti accanto a un muro di pietra.
10124	Una donna con un cappello da baseball e una maglietta blu sta facendo scoppiare un volante sulla sua bicicletta.
9354	Un bambino che gioca con una palla da calcio.
973	Un cane nero che nuota in acqua.
8872	Un cane bianco e marrone corre attraverso un campo.
8199	Un uomo in camicia bianca e pantaloni neri sta camminando per una strada.
2180	Un uomo in camicia nera e jeans blu è in piedi su una scala con un uomo in camicia bianca e pantaloni neri.
8280	Un uomo in camicia bianca e pantaloni neri sta guardando qualcosa.
6078	Un cane nero che nuota in acqua.
8362	Un uomo in camicia bianca e pantaloni neri sta guardando qualcosa.
1030	Un uomo in camicia bianca e pantaloni neri sta guardando qualcosa.
828	Un uomo e una donna sono seduti su una panchina.
9978	Un uomo in camicia bianca e pantaloni neri sta camminando per una strada.
4881	Un uomo con il casco in mountain bike che salta su una collina sporca.
6532	Un uomo con un cappello rigido arancione e un gilet arancione sta lavorando su un tetto con un martello.
6781	Un uomo in camicia bianca e pantaloni neri sta camminando su un sentiero sporco.
9888	Un uomo in camicia bianca e pantaloni neri sta camminando per una strada.
6258	Un gruppo di persone sedute a un tavolo a bere.
9323	Un uomo in camicia rossa e pantaloni neri sta facendo un calcio a mezzaria.
8611	Un uomo con un cappello da bowler e una camicia rossa sta facendo una foto.
1417	Un uomo con una maglietta nera e una donna con una maglietta bianca e un uomo in maglietta blu stanno parlando.
2909	Un uomo con un cappello da baseball sta lavorando con il legno.
10469	Un surfista in muta nera segue unonda.
1771	Un ragazzo con una maglietta blu sta saltando su un altro ragazzo in maglietta blu.
4902	Un uomo con un cappello nero e una camicia nera sta per colpire una palla da tennis.
134	Un giocatore di baseball che batte una mazza.
318	Un uomo in camicia bianca e pantaloni neri sta guardando qualcosa.
5595	Un uomo con un cappello da baseball sta lavorando ad una scultura di ghiaccio.
2197	Un giocatore di basket che indossa un maglietto rosso e bianco mentre i fan della squadra opposta lo guardano.
3701	Un cane bianco e nero salta su un ostacolo.
6661	Un uomo e una donna stanno camminando in un campo.
6031	Un uomo con un casco e un gilet arancione che guida una moto.
9039	Un cane bianco e marrone corre attraverso un campo erboso.
7682	Un uomo con un cappello da bowler e una camicia rossa sta lavorando ad un progetto di rimodellamento.
8175	Un bambino con una maglietta blu e dei pantaloni blu sta mangiando.
2113	Una donna con una maglietta blu e una gonna bianca e una gonna nera corta sta camminando sul marciapiede.
6283	Un gruppo di persone sta protestando per strada.
10010	Un uomo con un cappello da baseball sta camminando in una parata.
8084	Un cane marrone che corre nella neve.
1044	Un uomo con un cappello da bowler e una camicia rossa sta lavorando ad un progetto di rimodellamento.
9959	Un giocatore di calcio in maglietta verde e bianca calcia una palla gialla.
5580	Un uomo con una giacca di pelle e un cappello nero con una borsa nera sulla spalla destra.
2551	Un uomo con gli occhiali che tiene in braccio un bambino.
8070	Un uomo con una camicia nera e una donna con una maglietta blu sono in piedi tra la folla.
10330	Un gruppo di persone che camminano per strada.
1981	Un uomo in camicia blu sta lavorando su un tetto.
4452	Un uomo con un cappello nero e una giacca nera sta guardando qualcosa.
8054	Una bambina con un vestito giallo è seduta su una panchina con un bambino in grembo.
8519	Un uomo in camicia bianca e pantaloni neri sta guardando qualcosa.
6796	Un gruppo di persone sta viaggiando su una barca.
7170	Un uomo in camicia bianca e pantaloni neri sta camminando su un sentiero.
8486	Un cane nero corre sulla neve.
1202	Un uomo in camicia bianca e pantaloni neri sta guardando qualcosa.
615	Un uomo con un cappello da baseball sta guidando una bicicletta.
5330	Un cane nero corre sulla sabbia.
5970	Un cane nero che corre sulla spiaggia.
10097	Un uomo in camicia bianca e pantaloni neri sta camminando per una strada.
89	Un gruppo di persone sta camminando lungo una sentiera di montagna.
1390	Un uomo con un cappello da baseball sta aiutando un altro uomo con un cappello da baseball.
5743	Un uomo con gli occhiali da sole e una maglietta blu sta mangiando.
8631	Un uomo e una donna sono seduti su una panchina.
4027	Un uomo in camicia bianca e pantaloni neri sta guidando una bicicletta.
9911	Un uomo in camicia bianca e pantaloni neri sta giocando a pool.
4313	Un uomo in muta nera sta facendo surf su una tavola da surf.
5343	Un cane nero corre sulla spiaggia.
9519	Un uomo in camicia bianca e pantaloni neri sta camminando per una strada.
917	Un uomo in camicia bianca e occhiali da sole sta mangiando un panino.
6306	Un uomo in camicia bianca e pantaloni neri sta parlando con un uomo in camicia bianca.
